,Model,Substância,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8
40,NearestCentroid,Amphet,78,25,17,10,13,21,4,8,12
41,NearestCentroid,Amphet,77,21,22,16,10,18,6,4,14
42,NearestCentroid,Amphet,76,19,25,15,13,16,6,3,15
43,NearestCentroid,Amphet,79,20,21,8,22,14,5,4,15
44,NearestCentroid,Amphet,80,19,21,11,19,14,3,10,11
45,NearestCentroid,Amphet,77,21,22,15,16,13,2,12,10
46,NearestCentroid,Amphet,82,19,19,16,9,19,3,8,13
47,NearestCentroid,Amphet,83,18,20,12,15,16,2,5,16
48,NearestCentroid,Amphet,80,18,23,8,19,16,5,5,13
49,NearestCentroid,Amphet,88,11,22,12,10,21,6,8,9
50,NearestCentroid,Amphet,78,18,24,14,16,14,5,8,11
51,NearestCentroid,Amphet,81,18,21,10,16,18,4,5,15
52,NearestCentroid,Amphet,87,14,19,12,19,13,5,5,14
53,NearestCentroid,Amphet,78,19,23,12,12,20,8,6,10
54,NearestCentroid,Amphet,80,15,25,14,19,11,3,7,14
55,NearestCentroid,Amphet,80,21,19,11,12,21,3,6,15
56,NearestCentroid,Amphet,79,18,23,14,19,11,3,5,16
57,NearestCentroid,Amphet,77,25,19,12,15,16,6,9,8
58,NearestCentroid,Amphet,78,20,23,16,6,21,3,4,16
59,NearestCentroid,Amphet,90,12,19,9,15,19,3,14,6
60,NearestCentroid,Amyl,88,28,35,12,7,14,0,2,2
61,NearestCentroid,Amyl,92,24,35,13,9,11,2,1,1
62,NearestCentroid,Amyl,89,31,31,8,13,12,1,0,3
63,NearestCentroid,Amyl,89,15,47,7,9,17,0,1,3
64,NearestCentroid,Amyl,94,25,32,9,12,12,2,1,1
65,NearestCentroid,Amyl,73,30,48,13,8,12,0,2,2
66,NearestCentroid,Amyl,93,30,28,15,9,8,1,2,2
67,NearestCentroid,Amyl,77,36,38,13,9,10,1,2,1
68,NearestCentroid,Amyl,99,20,32,10,9,13,2,0,2
69,NearestCentroid,Amyl,91,18,41,13,10,10,0,1,3
70,NearestCentroid,Amyl,94,25,32,14,6,13,1,2,1
71,NearestCentroid,Amyl,85,27,39,9,13,11,1,1,2
72,NearestCentroid,Amyl,84,22,45,12,13,8,1,1,2
73,NearestCentroid,Amyl,92,26,33,11,11,11,1,1,2
74,NearestCentroid,Amyl,84,29,38,7,17,9,1,1,2
75,NearestCentroid,Amyl,90,23,38,19,5,9,1,1,2
76,NearestCentroid,Amyl,88,25,38,8,10,14,1,1,3
77,NearestCentroid,Amyl,88,28,35,12,7,13,1,1,2
78,NearestCentroid,Amyl,90,25,36,14,11,7,0,1,3
79,NearestCentroid,Amyl,84,26,40,7,11,15,0,2,2
80,NearestCentroid,Amyl,82,27,42,10,10,13,1,2,1
81,NearestCentroid,Amyl,90,29,32,16,7,10,0,1,3
82,NearestCentroid,Amyl,87,30,34,9,11,13,0,1,3
83,NearestCentroid,Amyl,96,22,33,13,12,8,1,1,2
84,NearestCentroid,Amyl,84,25,42,15,9,9,2,0,2
85,NearestCentroid,Amyl,93,19,39,5,12,16,2,2,0
86,NearestCentroid,Amyl,90,28,33,8,13,11,0,1,4
87,NearestCentroid,Amyl,87,25,39,13,9,10,2,0,2
88,NearestCentroid,Amyl,86,27,38,11,11,10,0,2,2
89,NearestCentroid,Amyl,89,26,35,14,10,9,0,1,3
90,NearestCentroid,Benzos,65,20,26,20,11,16,6,8,16
91,NearestCentroid,Benzos,69,18,24,11,9,27,6,5,19
92,NearestCentroid,Benzos,75,19,17,14,9,24,2,4,24
93,NearestCentroid,Benzos,68,16,27,19,9,19,5,7,18
94,NearestCentroid,Benzos,68,17,27,17,14,15,5,6,19
95,NearestCentroid,Benzos,71,16,25,11,15,20,8,10,12
96,NearestCentroid,Benzos,68,18,26,14,9,23,4,5,21
97,NearestCentroid,Benzos,68,17,27,19,12,15,5,5,19
98,NearestCentroid,Benzos,66,19,27,19,15,12,12,3,14
99,NearestCentroid,Benzos,76,14,21,22,7,17,7,8,15
100,NearestCentroid,Benzos,63,14,34,20,14,13,2,8,20
101,NearestCentroid,Benzos,68,21,22,14,13,20,4,9,17
102,NearestCentroid,Benzos,62,24,25,15,10,22,8,2,20
103,NearestCentroid,Benzos,68,15,28,13,15,19,7,5,18
104,NearestCentroid,Benzos,74,18,20,13,9,24,4,14,12
105,NearestCentroid,Benzos,73,18,21,18,11,17,5,7,18
106,NearestCentroid,Benzos,72,11,29,19,9,18,11,4,15
107,NearestCentroid,Benzos,74,21,17,21,10,15,5,3,21
108,NearestCentroid,Benzos,73,16,23,17,13,16,10,5,14
109,NearestCentroid,Benzos,69,16,26,15,7,24,4,5,21
110,NearestCentroid,Benzos,64,20,27,18,12,17,7,7,16
111,NearestCentroid,Benzos,72,13,26,17,16,14,5,10,15
112,NearestCentroid,Benzos,70,15,26,11,14,22,8,6,16
113,NearestCentroid,Benzos,71,20,20,22,9,16,4,11,15
114,NearestCentroid,Benzos,64,22,26,14,7,25,4,4,22
115,NearestCentroid,Benzos,74,14,24,11,14,21,5,3,22
116,NearestCentroid,Benzos,67,23,22,19,13,14,6,7,17
117,NearestCentroid,Benzos,82,13,17,18,11,17,7,4,18
118,NearestCentroid,Benzos,64,20,28,19,11,16,8,6,15
119,NearestCentroid,Benzos,66,20,25,18,7,21,6,5,19
120,NearestCentroid,Caff,2,2,0,3,3,2,62,43,71
121,NearestCentroid,Caff,3,1,0,6,1,1,56,48,72
122,NearestCentroid,Caff,4,0,0,3,1,4,58,34,84
123,NearestCentroid,Caff,2,1,1,1,4,3,65,40,71
124,NearestCentroid,Caff,4,0,0,2,3,3,53,44,79
125,NearestCentroid,Caff,1,0,3,2,3,3,49,34,93
126,NearestCentroid,Caff,3,1,0,1,4,3,46,36,94
127,NearestCentroid,Caff,0,0,3,4,2,3,56,56,63
128,NearestCentroid,Caff,3,0,0,2,3,4,68,43,64
129,NearestCentroid,Caff,2,1,0,2,4,3,54,45,76
130,NearestCentroid,Caff,2,0,2,1,2,5,56,37,83
131,NearestCentroid,Caff,3,0,1,4,2,2,58,52,66
132,NearestCentroid,Caff,3,0,1,5,2,1,62,51,63
133,NearestCentroid,Caff,4,0,0,3,4,1,52,50,74
134,NearestCentroid,Caff,3,1,0,3,3,2,58,47,71
135,NearestCentroid,Caff,4,0,0,5,3,0,61,47,68
136,NearestCentroid,Caff,2,1,1,1,3,4,51,44,81
137,NearestCentroid,Caff,2,0,1,1,2,6,53,34,88
138,NearestCentroid,Caff,2,1,0,3,1,5,55,36,84
139,NearestCentroid,Caff,0,3,0,1,4,4,67,29,79
140,NearestCentroid,Caff,3,1,0,2,3,3,69,34,73
141,NearestCentroid,Caff,2,1,1,2,2,4,57,36,83
142,NearestCentroid,Caff,3,1,0,1,3,4,59,28,89
143,NearestCentroid,Caff,0,3,1,2,3,3,48,44,84
144,NearestCentroid,Caff,3,0,1,3,4,1,62,48,66
145,NearestCentroid,Caff,1,0,3,4,2,2,53,53,70
146,NearestCentroid,Caff,3,0,1,5,2,1,61,44,71
147,NearestCentroid,Caff,2,0,1,3,2,4,62,44,69
148,NearestCentroid,Caff,2,1,0,1,4,4,44,42,89
149,NearestCentroid,Caff,2,1,0,3,3,3,58,40,77
150,NearestCentroid,Cannabis,41,16,5,16,14,17,6,13,60
151,NearestCentroid,Cannabis,44,13,5,15,15,18,11,20,47
152,NearestCentroid,Cannabis,46,12,4,14,16,18,6,13,59
153,NearestCentroid,Cannabis,41,16,5,12,24,12,6,15,57
154,NearestCentroid,Cannabis,47,9,6,22,16,10,11,17,50
155,NearestCentroid,Cannabis,49,6,7,14,21,13,10,17,51
156,NearestCentroid,Cannabis,42,14,6,9,20,19,9,13,56
157,NearestCentroid,Cannabis,43,14,5,20,11,16,12,17,49
158,NearestCentroid,Cannabis,49,9,4,13,19,15,18,15,45
159,NearestCentroid,Cannabis,41,17,4,15,14,18,6,14,58
160,NearestCentroid,Cannabis,45,13,4,15,15,17,11,14,54
161,NearestCentroid,Cannabis,44,12,6,14,21,13,10,15,53
162,NearestCentroid,Cannabis,45,13,4,18,15,15,7,23,48
163,NearestCentroid,Cannabis,46,10,6,7,18,23,8,12,58
164,NearestCentroid,Cannabis,47,13,2,15,21,12,11,13,54
165,NearestCentroid,Cannabis,46,13,3,16,17,15,7,12,59
166,NearestCentroid,Cannabis,47,8,7,14,16,18,16,17,45
167,NearestCentroid,Cannabis,40,18,4,19,13,15,8,15,55
168,NearestCentroid,Cannabis,46,11,5,14,19,14,11,12,55
169,NearestCentroid,Cannabis,41,15,6,16,16,15,7,17,54
170,NearestCentroid,Cannabis,50,10,2,15,16,16,7,18,54
171,NearestCentroid,Cannabis,43,13,6,19,16,13,9,16,53
172,NearestCentroid,Cannabis,44,14,4,9,18,21,12,15,51
173,NearestCentroid,Cannabis,44,13,5,11,21,16,8,20,50
174,NearestCentroid,Cannabis,44,12,6,20,13,15,10,11,57
175,NearestCentroid,Cannabis,46,13,3,14,21,13,10,18,50
176,NearestCentroid,Cannabis,42,14,6,18,14,16,6,12,60
177,NearestCentroid,Cannabis,41,9,12,15,19,13,6,17,55
178,NearestCentroid,Cannabis,47,10,5,12,18,17,11,11,56
179,NearestCentroid,Cannabis,44,17,1,16,13,18,14,12,52
180,NearestCentroid,Choc,3,0,1,3,2,1,63,71,44
181,NearestCentroid,Choc,2,0,2,2,2,2,77,50,51
182,NearestCentroid,Choc,3,1,0,1,0,5,78,52,48
183,NearestCentroid,Choc,2,2,0,3,1,2,72,72,34
184,NearestCentroid,Choc,0,2,1,4,2,1,63,84,31
185,NearestCentroid,Choc,1,2,0,1,4,2,79,64,35
186,NearestCentroid,Choc,2,1,0,2,2,3,61,79,38
187,NearestCentroid,Choc,1,1,1,1,3,2,56,79,43
188,NearestCentroid,Choc,1,1,1,1,4,1,65,59,54
189,NearestCentroid,Choc,1,1,1,4,0,2,67,69,42
190,NearestCentroid,Choc,3,0,1,1,2,3,67,84,27
191,NearestCentroid,Choc,3,1,0,2,1,3,67,61,50
192,NearestCentroid,Choc,2,1,1,1,2,3,64,71,43
193,NearestCentroid,Choc,1,0,3,0,2,4,58,64,56
194,NearestCentroid,Choc,1,0,2,4,3,0,76,65,37
195,NearestCentroid,Choc,1,0,2,4,2,1,71,71,36
196,NearestCentroid,Choc,1,2,0,3,1,3,68,71,39
197,NearestCentroid,Choc,0,2,1,2,3,1,67,75,36
198,NearestCentroid,Choc,1,1,1,4,2,0,86,71,21
199,NearestCentroid,Choc,0,3,0,2,1,3,65,63,50
200,NearestCentroid,Choc,2,1,1,2,2,2,63,87,28
201,NearestCentroid,Choc,2,0,2,2,2,2,71,57,50
202,NearestCentroid,Choc,3,1,0,1,3,2,78,67,33
203,NearestCentroid,Choc,1,2,1,3,1,2,83,58,37
204,NearestCentroid,Choc,1,0,2,4,1,2,54,71,53
205,NearestCentroid,Choc,0,3,0,3,3,1,64,76,38
206,NearestCentroid,Choc,1,2,0,4,1,2,73,70,35
207,NearestCentroid,Choc,1,2,0,2,2,2,67,68,43
208,NearestCentroid,Choc,0,1,2,3,1,2,53,91,34
209,NearestCentroid,Choc,2,1,0,1,3,2,64,65,49
210,NearestCentroid,Coke,71,22,27,16,11,25,1,2,13
211,NearestCentroid,Coke,82,15,23,17,16,19,4,3,9
212,NearestCentroid,Coke,81,19,20,20,16,16,2,3,11
213,NearestCentroid,Coke,68,24,28,20,11,21,3,7,6
214,NearestCentroid,Coke,78,26,16,21,9,22,3,2,11
215,NearestCentroid,Coke,79,20,21,14,18,20,2,2,12
216,NearestCentroid,Coke,71,20,28,12,15,26,3,5,8
217,NearestCentroid,Coke,87,12,20,26,10,17,2,2,11
218,NearestCentroid,Coke,88,11,20,18,13,22,2,2,11
219,NearestCentroid,Coke,75,9,35,9,13,31,0,5,10
220,NearestCentroid,Coke,69,22,29,22,16,14,0,6,10
221,NearestCentroid,Coke,86,16,18,15,13,24,2,4,10
222,NearestCentroid,Coke,75,15,30,13,17,22,2,1,13
223,NearestCentroid,Coke,79,18,23,20,7,25,2,4,10
224,NearestCentroid,Coke,79,20,21,18,16,18,2,8,6
225,NearestCentroid,Coke,73,24,23,16,13,23,3,3,10
226,NearestCentroid,Coke,73,24,22,17,12,24,0,4,12
227,NearestCentroid,Coke,83,19,17,15,16,22,3,3,9
228,NearestCentroid,Coke,83,8,28,15,11,27,3,2,10
229,NearestCentroid,Coke,77,20,22,18,14,21,6,2,7
230,NearestCentroid,Coke,84,11,25,15,12,25,0,2,14
231,NearestCentroid,Coke,79,18,23,17,16,19,0,5,11
232,NearestCentroid,Coke,77,18,25,20,10,22,2,4,10
233,NearestCentroid,Coke,80,19,21,14,12,26,6,3,7
234,NearestCentroid,Coke,82,20,18,20,8,24,1,3,12
235,NearestCentroid,Coke,75,23,22,11,18,23,4,2,10
236,NearestCentroid,Coke,75,19,25,20,16,17,3,6,7
237,NearestCentroid,Coke,75,19,25,16,16,21,1,4,10
238,NearestCentroid,Coke,78,19,22,22,11,20,3,4,8
239,NearestCentroid,Coke,76,18,25,19,13,21,1,5,9
240,NearestCentroid,Crack,107,29,33,5,6,6,0,0,2
241,NearestCentroid,Crack,100,41,28,7,5,5,0,0,2
242,NearestCentroid,Crack,97,43,29,6,4,7,1,0,1
243,NearestCentroid,Crack,102,33,34,7,5,5,0,0,2
244,NearestCentroid,Crack,98,42,29,3,9,5,0,2,0
245,NearestCentroid,Crack,107,31,31,5,5,7,0,1,1
246,NearestCentroid,Crack,104,37,28,4,5,8,0,2,0
247,NearestCentroid,Crack,113,29,27,5,8,3,1,1,0
248,NearestCentroid,Crack,111,39,19,4,8,4,1,0,1
249,NearestCentroid,Crack,97,40,31,7,6,4,0,1,1
250,NearestCentroid,Crack,102,33,34,6,8,3,0,2,0
251,NearestCentroid,Crack,97,44,28,5,4,8,0,1,1
252,NearestCentroid,Crack,96,37,36,3,7,7,0,1,1
253,NearestCentroid,Crack,98,38,33,3,8,6,0,1,1
254,NearestCentroid,Crack,116,34,19,8,5,4,0,2,0
255,NearestCentroid,Crack,107,32,30,3,9,5,0,0,2
256,NearestCentroid,Crack,92,37,40,7,5,5,1,0,1
257,NearestCentroid,Crack,117,31,21,4,5,7,1,0,1
258,NearestCentroid,Crack,103,38,28,6,7,3,0,1,1
259,NearestCentroid,Crack,103,35,30,6,3,8,1,0,1
260,NearestCentroid,Crack,109,30,30,4,6,7,0,2,0
261,NearestCentroid,Crack,118,32,19,4,5,8,1,0,1
262,NearestCentroid,Crack,95,44,30,3,10,4,1,0,1
263,NearestCentroid,Crack,98,46,25,6,7,4,0,1,1
264,NearestCentroid,Crack,100,41,28,4,10,3,0,1,1
265,NearestCentroid,Crack,103,31,35,6,6,5,0,1,1
266,NearestCentroid,Crack,104,32,33,8,4,5,0,1,1
267,NearestCentroid,Crack,101,34,34,7,4,5,2,0,0
268,NearestCentroid,Crack,104,38,27,5,5,6,0,1,1
269,NearestCentroid,Crack,101,33,34,5,5,7,0,0,2
270,NearestCentroid,Ecstasy,77,19,18,17,21,13,6,6,11
271,NearestCentroid,Ecstasy,75,20,19,11,18,22,2,5,16
272,NearestCentroid,Ecstasy,70,24,19,17,13,21,3,9,12
273,NearestCentroid,Ecstasy,80,19,14,13,15,23,4,10,10
274,NearestCentroid,Ecstasy,80,15,18,10,20,21,5,8,11
275,NearestCentroid,Ecstasy,88,11,14,7,19,25,6,6,12
276,NearestCentroid,Ecstasy,75,21,17,15,17,19,3,7,14
277,NearestCentroid,Ecstasy,82,11,20,14,19,17,2,6,16
278,NearestCentroid,Ecstasy,76,22,15,10,24,16,4,7,13
279,NearestCentroid,Ecstasy,83,17,13,16,20,14,2,6,16
280,NearestCentroid,Ecstasy,79,23,12,10,21,20,5,5,13
281,NearestCentroid,Ecstasy,81,18,15,9,21,21,3,9,11
282,NearestCentroid,Ecstasy,84,18,11,9,19,23,4,9,11
283,NearestCentroid,Ecstasy,65,23,25,19,11,21,0,8,16
284,NearestCentroid,Ecstasy,81,15,17,15,26,10,4,7,13
285,NearestCentroid,Ecstasy,76,20,17,13,16,22,4,10,10
286,NearestCentroid,Ecstasy,86,9,18,16,17,18,6,7,11
287,NearestCentroid,Ecstasy,79,19,15,13,19,18,3,5,16
288,NearestCentroid,Ecstasy,82,15,16,18,19,13,3,7,14
289,NearestCentroid,Ecstasy,74,20,19,9,19,22,5,7,12
290,NearestCentroid,Ecstasy,80,18,16,11,22,18,1,8,14
291,NearestCentroid,Ecstasy,73,21,20,14,17,20,6,5,12
292,NearestCentroid,Ecstasy,69,19,25,18,15,18,7,5,12
293,NearestCentroid,Ecstasy,84,16,13,13,21,17,0,11,13
294,NearestCentroid,Ecstasy,85,15,13,15,23,13,6,9,9
295,NearestCentroid,Ecstasy,85,14,14,13,17,21,3,6,15
296,NearestCentroid,Ecstasy,73,23,17,14,14,23,4,5,15
297,NearestCentroid,Ecstasy,77,12,24,9,23,18,2,6,16
298,NearestCentroid,Ecstasy,80,22,11,11,20,19,6,6,12
299,NearestCentroid,Ecstasy,82,13,18,11,20,19,3,7,14
300,NearestCentroid,Heroin,104,34,29,3,8,5,0,4,1
301,NearestCentroid,Heroin,115,28,24,5,3,8,1,0,4
302,NearestCentroid,Heroin,106,35,26,4,5,7,0,2,3
303,NearestCentroid,Heroin,97,37,33,6,7,3,1,1,3
304,NearestCentroid,Heroin,96,46,25,4,2,9,0,3,3
305,NearestCentroid,Heroin,112,32,23,5,4,6,0,4,2
306,NearestCentroid,Heroin,120,25,22,4,7,4,1,0,5
307,NearestCentroid,Heroin,97,39,31,6,6,3,0,1,4
308,NearestCentroid,Heroin,116,27,23,6,6,4,1,2,2
309,NearestCentroid,Heroin,113,30,23,1,4,11,0,1,4
310,NearestCentroid,Heroin,94,34,39,5,4,7,1,0,4
311,NearestCentroid,Heroin,99,30,38,3,6,7,0,1,4
312,NearestCentroid,Heroin,108,38,21,6,4,6,0,1,4
313,NearestCentroid,Heroin,100,31,36,4,7,5,0,4,1
314,NearestCentroid,Heroin,115,33,19,5,4,6,1,2,3
315,NearestCentroid,Heroin,116,31,20,4,5,6,1,3,2
316,NearestCentroid,Heroin,117,35,15,2,10,3,1,4,1
317,NearestCentroid,Heroin,104,30,33,2,6,7,0,2,3
318,NearestCentroid,Heroin,102,34,30,7,4,5,0,1,4
319,NearestCentroid,Heroin,115,25,26,8,4,4,0,0,5
320,NearestCentroid,Heroin,106,24,37,6,7,3,0,1,4
321,NearestCentroid,Heroin,110,24,33,5,5,6,1,1,3
322,NearestCentroid,Heroin,114,29,24,5,6,5,0,2,3
323,NearestCentroid,Heroin,101,41,25,6,5,5,1,3,1
324,NearestCentroid,Heroin,103,32,32,1,6,8,0,2,4
325,NearestCentroid,Heroin,103,37,27,2,2,11,0,2,4
326,NearestCentroid,Heroin,106,36,25,3,9,3,0,3,3
327,NearestCentroid,Heroin,106,36,25,5,5,5,1,2,2
328,NearestCentroid,Heroin,106,37,23,7,5,4,0,2,3
329,NearestCentroid,Heroin,118,25,23,4,4,8,1,1,3
330,NearestCentroid,Ketamine,89,24,41,6,7,13,2,2,4
331,NearestCentroid,Ketamine,94,21,38,10,9,8,0,2,6
332,NearestCentroid,Ketamine,103,19,31,13,5,9,2,2,4
333,NearestCentroid,Ketamine,104,19,30,7,6,14,3,2,3
334,NearestCentroid,Ketamine,102,22,29,8,12,7,0,2,6
335,NearestCentroid,Ketamine,97,28,28,12,6,9,1,1,6
336,NearestCentroid,Ketamine,91,20,42,8,11,8,2,4,2
337,NearestCentroid,Ketamine,103,21,29,5,8,14,1,2,4
338,NearestCentroid,Ketamine,80,31,42,11,7,9,1,3,3
339,NearestCentroid,Ketamine,103,14,36,5,9,13,2,0,5
340,NearestCentroid,Ketamine,98,25,31,6,8,12,2,0,6
341,NearestCentroid,Ketamine,108,12,33,13,6,8,0,2,6
342,NearestCentroid,Ketamine,101,16,36,12,7,8,2,3,3
343,NearestCentroid,Ketamine,96,22,35,7,6,14,0,2,6
344,NearestCentroid,Ketamine,96,23,34,10,11,6,2,0,6
345,NearestCentroid,Ketamine,84,24,45,6,5,16,0,5,3
346,NearestCentroid,Ketamine,98,27,28,14,8,5,5,1,2
347,NearestCentroid,Ketamine,91,27,35,7,9,11,2,0,5
348,NearestCentroid,Ketamine,98,20,35,4,10,13,0,5,2
349,NearestCentroid,Ketamine,99,17,37,8,6,13,1,1,5
350,NearestCentroid,Ketamine,100,19,35,10,8,8,1,3,4
351,NearestCentroid,Ketamine,99,15,39,7,8,12,0,0,8
352,NearestCentroid,Ketamine,95,17,41,10,6,11,2,2,4
353,NearestCentroid,Ketamine,99,23,31,8,7,12,1,1,6
354,NearestCentroid,Ketamine,92,27,34,4,9,14,0,2,6
355,NearestCentroid,Ketamine,89,25,39,9,8,10,5,1,2
356,NearestCentroid,Ketamine,98,22,33,6,9,12,1,5,2
357,NearestCentroid,Ketamine,97,21,35,10,7,10,2,1,4
358,NearestCentroid,Ketamine,91,37,25,10,11,6,1,3,3
359,NearestCentroid,Ketamine,99,20,34,10,6,11,1,1,5
360,NearestCentroid,Legalh,87,16,10,6,22,23,2,8,14
361,NearestCentroid,Legalh,91,13,8,15,19,18,3,8,13
362,NearestCentroid,Legalh,82,15,15,7,18,27,2,8,14
363,NearestCentroid,Legalh,79,17,16,9,26,17,4,5,15
364,NearestCentroid,Legalh,86,13,13,10,18,24,3,6,15
365,NearestCentroid,Legalh,75,16,21,12,18,22,2,7,15
366,NearestCentroid,Legalh,83,11,18,7,20,25,3,6,15
367,NearestCentroid,Legalh,89,7,16,10,18,23,4,10,10
368,NearestCentroid,Legalh,81,18,13,13,17,21,2,9,13
369,NearestCentroid,Legalh,84,17,11,13,24,14,4,11,9
370,NearestCentroid,Legalh,80,16,17,11,18,22,3,3,18
371,NearestCentroid,Legalh,80,17,15,11,25,16,5,8,11
372,NearestCentroid,Legalh,87,12,13,8,18,26,2,8,14
373,NearestCentroid,Legalh,81,19,12,12,21,19,4,7,13
374,NearestCentroid,Legalh,88,13,11,13,12,27,1,10,13
375,NearestCentroid,Legalh,85,12,15,10,19,23,5,9,10
376,NearestCentroid,Legalh,80,15,17,11,20,21,1,9,14
377,NearestCentroid,Legalh,90,11,11,8,22,21,3,4,17
378,NearestCentroid,Legalh,80,13,19,11,26,14,2,13,9
379,NearestCentroid,Legalh,84,17,11,10,14,27,4,5,15
380,NearestCentroid,Legalh,79,17,17,16,18,17,2,8,14
381,NearestCentroid,Legalh,80,15,17,14,16,22,4,5,15
382,NearestCentroid,Legalh,75,20,17,13,14,25,4,6,14
383,NearestCentroid,Legalh,86,8,18,12,20,20,1,6,17
384,NearestCentroid,Legalh,78,20,14,8,24,20,2,10,12
385,NearestCentroid,Legalh,88,16,8,10,17,25,2,11,11
386,NearestCentroid,Legalh,86,17,9,10,20,22,3,7,14
387,NearestCentroid,Legalh,90,10,12,9,20,22,1,9,14
388,NearestCentroid,Legalh,85,14,13,7,17,27,7,6,11
389,NearestCentroid,Legalh,86,14,12,6,24,21,3,8,13
390,NearestCentroid,LSD,91,26,16,8,15,16,0,8,8
391,NearestCentroid,LSD,87,23,23,11,10,18,3,1,12
392,NearestCentroid,LSD,89,24,20,6,9,24,2,5,9
393,NearestCentroid,LSD,93,24,16,7,17,15,3,3,10
394,NearestCentroid,LSD,97,18,18,4,14,20,2,5,10
395,NearestCentroid,LSD,100,18,15,4,13,21,1,6,10
396,NearestCentroid,LSD,92,18,22,11,13,15,1,4,12
397,NearestCentroid,LSD,95,21,16,11,12,16,2,8,6
398,NearestCentroid,LSD,87,35,10,13,14,12,2,6,8
399,NearestCentroid,LSD,93,23,16,13,12,14,1,5,10
400,NearestCentroid,LSD,95,22,16,9,12,18,0,6,10
401,NearestCentroid,LSD,102,17,14,12,9,18,1,4,11
402,NearestCentroid,LSD,94,25,14,8,11,20,2,0,14
403,NearestCentroid,LSD,88,27,18,9,16,14,1,7,8
404,NearestCentroid,LSD,82,33,18,6,17,15,2,7,8
405,NearestCentroid,LSD,91,25,17,7,16,15,2,5,10
406,NearestCentroid,LSD,89,24,19,9,11,19,2,5,10
407,NearestCentroid,LSD,93,23,16,10,14,15,1,6,9
408,NearestCentroid,LSD,93,19,20,10,10,19,4,3,9
409,NearestCentroid,LSD,94,23,15,8,14,17,3,4,9
410,NearestCentroid,LSD,93,24,16,14,11,14,0,7,9
411,NearestCentroid,LSD,88,34,11,5,11,23,3,6,7
412,NearestCentroid,LSD,102,17,14,9,16,14,4,3,9
413,NearestCentroid,LSD,85,32,16,7,11,21,1,7,8
414,NearestCentroid,LSD,92,25,16,13,11,14,2,3,12
415,NearestCentroid,LSD,91,18,24,9,12,17,1,3,13
416,NearestCentroid,LSD,92,15,25,6,14,19,2,4,11
417,NearestCentroid,LSD,84,28,20,8,17,14,2,4,10
418,NearestCentroid,LSD,101,19,12,11,13,15,1,6,9
419,NearestCentroid,LSD,93,24,15,8,15,16,2,3,11
420,NearestCentroid,Meth,100,25,22,9,8,7,4,3,10
421,NearestCentroid,Meth,95,24,28,6,6,12,4,8,5
422,NearestCentroid,Meth,94,24,29,8,4,12,7,4,6
423,NearestCentroid,Meth,90,36,20,10,9,6,3,4,10
424,NearestCentroid,Meth,92,25,29,9,10,6,3,7,7
425,NearestCentroid,Meth,97,26,23,4,9,12,5,4,8
426,NearestCentroid,Meth,99,22,25,7,9,8,5,2,11
427,NearestCentroid,Meth,98,19,29,4,9,11,4,9,4
428,NearestCentroid,Meth,94,21,31,6,6,12,3,5,9
429,NearestCentroid,Meth,87,28,31,4,10,10,5,2,10
430,NearestCentroid,Meth,100,25,22,7,7,10,7,6,4
431,NearestCentroid,Meth,90,30,27,7,10,7,4,6,7
432,NearestCentroid,Meth,98,27,22,7,9,8,4,4,9
433,NearestCentroid,Meth,97,21,28,5,7,13,1,7,9
434,NearestCentroid,Meth,99,15,32,9,3,13,6,6,5
435,NearestCentroid,Meth,88,33,25,7,9,9,4,8,5
436,NearestCentroid,Meth,101,22,23,7,9,8,4,1,13
437,NearestCentroid,Meth,85,31,30,5,9,10,5,4,8
438,NearestCentroid,Meth,99,20,27,6,9,9,5,5,7
439,NearestCentroid,Meth,102,21,23,4,8,12,2,6,9
440,NearestCentroid,Meth,98,28,21,11,6,7,4,8,5
441,NearestCentroid,Meth,106,20,21,7,8,9,6,4,7
442,NearestCentroid,Meth,98,24,25,6,9,9,4,6,7
443,NearestCentroid,Meth,90,27,29,6,9,10,3,4,10
444,NearestCentroid,Meth,92,28,26,8,8,9,3,6,8
445,NearestCentroid,Meth,94,27,25,4,12,9,4,3,10
446,NearestCentroid,Meth,101,21,24,8,4,12,4,6,8
447,NearestCentroid,Meth,89,27,30,4,10,10,7,4,6
448,NearestCentroid,Meth,100,20,26,4,8,12,5,5,7
449,NearestCentroid,Meth,89,27,30,8,6,10,2,8,7
450,NearestCentroid,Mushrooms,88,18,13,19,15,20,2,3,10
451,NearestCentroid,Mushrooms,82,20,17,16,14,23,2,3,11
452,NearestCentroid,Mushrooms,91,18,10,12,16,25,2,3,11
453,NearestCentroid,Mushrooms,85,23,11,12,12,29,1,3,12
454,NearestCentroid,Mushrooms,73,24,22,14,17,22,2,3,11
455,NearestCentroid,Mushrooms,81,21,17,9,20,24,2,5,9
456,NearestCentroid,Mushrooms,74,21,24,11,17,25,2,5,9
457,NearestCentroid,Mushrooms,83,21,15,12,17,24,1,6,8
458,NearestCentroid,Mushrooms,93,18,8,14,20,19,2,2,11
459,NearestCentroid,Mushrooms,86,21,12,16,15,22,2,4,9
460,NearestCentroid,Mushrooms,76,20,23,14,16,24,2,2,11
461,NearestCentroid,Mushrooms,85,22,12,17,17,19,2,5,9
462,NearestCentroid,Mushrooms,80,25,14,12,17,24,2,1,13
